Product Name,Official Price,Weight/Unit,Offer Price,Currency
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Navel Orange,5.95,1KG,4.95,SAR
Onion Red Medium Bag,,count,4.45,SAR
Green Apple (Granny Smith),10.95,1KG,7.95,SAR
Cucumber,5.45,1KG,4.95,SAR
Red Apple Jumbo,5.47,500g,3.98,SAR
Royal Gala Apple,,1KG,7.95,SAR
Fresh Green Capsicum,,500g,3.98,SAR
Big Eggplant,,750g,3.71,SAR
Banana Delmonte,6.95,1KG,4.95,SAR
Local Tomato Box,,900g,10.95,SAR
Zucchini,,500g,3.98,SAR
Fresh Imported Carrot,3.85,500g,2.48,SAR
Fig Peach,,500g,8.22,SAR
Green Beans,,500g,7.22,SAR
Fresh Mint Local,,count,1.25,SAR
Red Cherry Tomato Punnet,,250g,5.45,SAR
Fresh Yellow Capsicum,,500g,8.22,SAR
Fresh Rocca Local,,count,0.95,SAR
Garlic China,,250g,3.36,SAR
Fresh Imported Broccoli,,500g,9.97,SAR
Green Chili,,250g,2.17,SAR
Mandarin Pakistani,,500g,2.73,SAR
Apple Canzi,,500g,6.72,SAR
Pumpkin Cutted Pack,,400g,9.95,SAR
Mango Owais,,500g,4.97,SAR
Okra Tray,,350g,13.45,SAR
Carrots In Foam Box,,1kg,10.95,SAR
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Navel Orange,5.95,1KG,4.95,SAR
Onion Red Medium Bag,,count,4.45,SAR
Green Apple (Granny Smith),10.95,1KG,7.95,SAR
Cucumber,5.45,1KG,4.95,SAR
Red Apple Jumbo,5.47,500g,3.98,SAR
Royal Gala Apple,,1KG,7.95,SAR
Fresh Green Capsicum,,500g,3.98,SAR
Big Eggplant,,750g,3.71,SAR
Banana Delmonte,6.95,1KG,4.95,SAR
Local Tomato Box,,900g,10.95,SAR
Zucchini,,500g,3.98,SAR
Fresh Imported Carrot,3.85,500g,2.48,SAR
Fig Peach,,500g,8.22,SAR
Green Beans,,500g,7.22,SAR
Fresh Mint Local,,count,1.25,SAR
Red Cherry Tomato Punnet,,250g,5.45,SAR
Fresh Yellow Capsicum,,500g,8.22,SAR
Fresh Rocca Local,,count,0.95,SAR
Garlic China,,250g,3.36,SAR
Fresh Imported Broccoli,,500g,9.97,SAR
Green Chili,,250g,2.17,SAR
Mandarin Pakistani,,500g,2.73,SAR
Apple Canzi,,500g,6.72,SAR
Pumpkin Cutted Pack,,400g,9.95,SAR
Mango Owais,,500g,4.97,SAR
Okra Tray,,350g,13.45,SAR
Carrots In Foam Box,,1kg,10.95,SAR
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Imported Strawberry,16.95,250g,11.95,SAR
"Blueberry Punnet, Approx",,125g,8.95,SAR
Selected Tomato,,500g,6.72,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Cherry Punnet,,400g,13.45,SAR
Potato,,750g,3.71,SAR
Grapes White Seedless,,500g,8.22,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Banana Sharbatly,,1KG,5.45,SAR
Lemon,,500g,2.98,SAR
Lettuce Romaine,,500g,2.98,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Iceberg Lettuce,,500g,6.72,SAR
Valencia Orange For Juice,,1KG,4.45,SAR
Potato Fresh,5.95,1KG,4.95,SAR
Navel Orange,5.95,1KG,4.95,SAR
Onion Red Medium Bag,,count,4.45,SAR
Green Apple (Granny Smith),10.95,1KG,7.95,SAR
